id,is_acvite,name,description,tags,packages,number_of_units,created_time,updated_time
175,1,"TOEIC Listening skill","Giới thiệu, luyện thi cho người đã có căn bản từ 500 lên 550 score và hơn nữa",,,6,1970-01-01 08:34:28.000000,
176,1,"Toán tiểu học","Toán dành cho học sinh tiểu học",,,4,1970-01-01 08:35:41.000000,
177,1,"Tiếng Việt tiểu học","Tiếng Việt tiểu học",,,3,1970-01-01 08:34:40.000000,
178,1,"Tự nhiên xã hội tiểu học","Tự nhiên xã hội tiểu học",,,3,1970-01-01 08:35:33.000000,
179,1,"BIG ENGLISH","Big English Complete 7 Levels Set là bộ giáo trình Anh ngữ do Tập đoàn giáo dục Pearson Longman của Mỹ phát hành. Đây là bộ ấn phẩm rất hoàn chỉnh dành cho các bạn nhỏ trong độ tuổi Tiểu học luyện tiếng Anh.",,,9,1970-01-01 08:35:23.000000,
180,1,"New Round-Up Starter","Bộ sách NEW ROUND UP chuyên về ngữ pháp
",,,27,1970-01-01 08:34:46.000000,
181,1,"New Round-Up 1","Bộ sách NEW ROUND UP chuyên về ngữ pháp",,,30,1970-01-01 08:35:44.000000,
182,1,"Explore Our World 5","Giáo trình Explore Our World cung cấp cho trẻ 4 kĩ năng chủ yếu: nghe, nói, phát âm, viết.",,,12,1970-01-01 08:34:35.000000,
183,1,"New Round-Up 2","New Round-Up do NXB hàng đầu thế giới Pearson Longman phát hành ",,,34,1970-01-01 08:35:40.000000,
184,1,"IELTS Listening Chuyên đề Bản Vẽ","Chuyên đề luyện Nghe Bản Vẽ",,,18,1970-01-01 08:35:36.000000,
185,1,"IELTS Speaking Chuyên đề Bản Vẽ","Chuyên đề Bản Vẽ nói",,,9,1970-01-01 08:35:37.000000,
186,1,"SPEAK NOW 1","Bộ sách “Speak Now Level 1 2 3 4 Full ebook” gồm 4 level theo độ khó tăng dần dành để rèn luyện các kỹ năng cho người mới bắt đọc học tiếng Anh.",,,18,1970-01-01 08:35:28.000000,
187,1,"SPEAK NOW 2","Bộ sách được biên soạn công phu và trình bày hiệu quả giúp người học được trang bị kiến thức đầy đủ, bài bản và giúp nâng cao trình độ tiếng Anh của người học.",,,18,1970-01-01 08:34:25.000000,
188,1,"SPEAK NOW 3"," Mục tiêu giúp hv giao tiếp tốt trong các tình huống đa dạng trong cuộc sống.",,,18,1970-01-01 08:35:42.000000,
189,1,"SPEAK NOW 4","Mục tiêu giúp hv giao tiếp thành thạo và lưu loát trong các tình huống nâng cao của cuộc sống.",,,18,1970-01-01 08:35:17.000000,
190,1,"NEW ROUND-UP 3","Bộ sách NEW ROUND UP chuyên về ngữ pháp",,,29,1970-01-01 08:34:48.000000,
191,1,"NEW ROUND-UP 4","Bộ sách bao gồm 7 phần, tương ứng với các trình độ từ mới bắt đầu đến nâng cao, nên dù bạn đang ở mức nào thì bạn vẫn hoàn toàn có thể chọn được phần sách phù hợp",,,29,1970-01-01 08:35:42.000000,
192,1,"NEW ROUND-UP 5","New Round-Up từ Level Starter tới Level 6 là bộ giáo trình gồm 7 cấp độ do NXB hàng đầu thế giới Pearson Longman phát hành và tất nhiên rồi, cặp bài trùng hai tác giả nổi tiếng Virginia Evans và Jenny Dooley là chủ biên của bộ sách tuyệt vời này.",,,22,1970-01-01 08:34:55.000000,
193,1,"NEW ROUND-UP 6","New Round-Up từ Level Starter tới Level 6 là bộ giáo trình gồm 7 cấp độ do NXB hàng đầu thế giới Pearson Longman phát hành và tất nhiên rồi, cặp bài trùng hai tác giả nổi tiếng Virginia Evans và Jenny Dooley là chủ biên của bộ sách tuyệt vời này.",,,17,1970-01-01 08:34:58.000000,
194,1,"STORYFUN FOR FLYERS","Khác với những quyển sách khác, bộ series Storyfun for Starter, Movers, Flyers được chia đúng theo từng cấp độ tiếng Anh cho những bạn vừa mới làm quen với tiếng Anh, nên các bạn có thể chủ động trong việc học hoặc kèm em nhỏ ở nhà.",,,10,1970-01-01 08:35:40.000000,
195,1,"Bộ đề Cam về đích","Bộ đề luyện từ Cam 13 đến Cam 15",,,32,1970-01-01 08:35:02.000000,
196,1,"Grammar Friends 5","Giáo trình tập trung củng cố cả từ vựng và ngữ pháp với các chủ đề phù hợp với lứa tuổi tiểu học.",,,30,1970-01-01 08:34:39.000000,
197,1,"IELTS  New 2021_SPEAKING","IETLS Bộ mới đầy đủ 04 Kỹ năng  Bài tập Audio ",,,7,1970-01-01 08:35:08.000000,
